iter	Logloss
0	0.5648387969
1	0.4727570282
2	0.4214559389
3	0.3806754254
4	0.3396783763
5	0.3130063758
6	0.2931057863
7	0.2828509706
8	0.270911383
9	0.2635643219
10	0.2543182083
11	0.2470912159
12	0.2426996933
13	0.2405343981
14	0.2347208597
15	0.2279578232
16	0.2243156167
17	0.2224041367
18	0.2168573575
19	0.2151386188
20	0.2136156302
21	0.2129111821
22	0.2113981515
23	0.2102409727
24	0.2083312918
25	0.2073116212
26	0.2061121543
27	0.2030986996
28	0.1995881324
29	0.1986867544
30	0.1976272222
31	0.1969167674
32	0.1969145765
33	0.1963406173
34	0.1956418217
35	0.1934047593
36	0.1934014895
37	0.1921809033
38	0.1908726809
39	0.1891763373
40	0.188896973
41	0.1888742738
42	0.1886939046
43	0.1882160023
44	0.187140732
45	0.1855408792
46	0.1854697928
47	0.1833880578
48	0.182275619
49	0.1809628177
50	0.1795277902
51	0.1795154802
52	0.1793246055
53	0.1789970795
54	0.1789664115
55	0.1789175961
56	0.1779371017
57	0.1766812304
58	0.1759504251
59	0.175073721
60	0.1743537079
61	0.174098907
62	0.1738103579
63	0.1734741196
64	0.1725999416
65	0.1718661919
66	0.1718504721
67	0.1718247428
68	0.1701795416
69	0.1685828789
70	0.1680841825
71	0.1680824142
72	0.1672603378
73	0.1659962232
74	0.1658406326
75	0.1654953669
76	0.1639917436
77	0.163049255
78	0.1614333338
79	0.1603129568
80	0.1592002614
81	0.158666242
82	0.1582052814
83	0.1573926021
84	0.1568793099
85	0.1557307604
86	0.1540363415
87	0.1526239465
88	0.1515720461
89	0.1496032393
90	0.1480815472
91	0.1472587292
92	0.1466041437
93	0.1452879643
94	0.1435270403
95	0.1412948613
96	0.139167968
97	0.137663536
98	0.1369204243
99	0.1361947831
100	0.1334231553
101	0.132606832
102	0.1296949892
103	0.1287776564
104	0.1280114019
105	0.1259207141
106	0.1238539193
107	0.1230230823
108	0.1210673764
109	0.119057489
110	0.1176759068
111	0.116453691
112	0.1157345748
113	0.1145210965
114	0.1134749248
115	0.1128317191
116	0.1114650937
117	0.1103194621
118	0.1093393104
119	0.1083125312
120	0.1071146117
121	0.105462005
122	0.1040788858
123	0.1027505761
124	0.1018414507
125	0.1007135677
126	0.09991142238
127	0.09883868228
128	0.09802521374
129	0.09729961525
130	0.09646167284
131	0.09527500064
132	0.09414996791
133	0.09386842316
134	0.092943498
135	0.09203348549
136	0.09150655813
137	0.09064803209
138	0.090013823
139	0.08929807453
140	0.0882252114
141	0.08757892185
142	0.08724230853
